Sum of HNI,IPO Name,IPO Success,Sum of Issue Size,Year,Quarter,Month,Day,Sum of Offer Price,Sum of QIB,Sum of RII,Sum of Total,Sum of Year
4.24,Capital Infra Trust,0,1578,2025,Qtr 1,January,17,99,0.58,0,2.23,2025
4.05,Capital Small Finance Bank Limited,0,523.07,2024,Qtr 1,February,14,468,6.64,2.49,4,2024
110.96,CARE Ratings Ltd,1,539.98,2012,Qtr 4,December,26,750,45.8,6.18,40.98,2012
0.6,Carraro India Limited,0,1250,2024,Qtr 4,December,30,704,2.21,0.71,1.12,2024
41,CarTrade Tech Limited,0,2998.51,2021,Qtr 3,August,20,1618,35.45,2.75,20.29,2021
14.42,Ceigall India Limited,0,1252.66,2024,Qtr 3,August,8,401,31.5,3.77,13.78,2024
24.42,Cello World Limited,1,1900,2023,Qtr 4,November,6,648,108.57,3.06,38.9,2023
563.03,Central Depository Services Ltd,1,523.99,2017,Qtr 2,June,30,149,148.71,23.83,170.16,2017
1.1,Chalet Hotels Ltd,0,1641.18,2019,Qtr 1,February,7,280,4.66,0.03,1.57,2019
449.14,Chemcon Speciality Chemicals Ltd,1,318,2020,Qtr 4,October,1,340,113.54,41.21,149.33,2020
1.03,Chemplast Sanmar Limited,0,3850,2021,Qtr 3,August,24,541,2.7,2.29,2.17,2021
0.21,CL Educate Ltd,0,238.95,2017,Qtr 1,March,31,502,3.65,1.63,1.9,2017
2.03,Claris Lifescience Ltd,0,300,2010,Qtr 4,December,20,228,1.31,1.6,1.5,2010
110.28,Clean Science and Technology Limited,1,1546.62,2021,Qtr 3,July,19,900,70.31,5.71,46.57,2021
1.45,CMS Info Systems Limited,0,1100,2021,Qtr 4,December,31,216,1.98,2.15,1.95,2021
25.4,Coal India Ltd,0,15199.4,2010,Qtr 4,November,4,245,24.7,2.31,15.28,2010
288.87,Cochin Shipyard Ltd,0,1442.01,2017,Qtr 3,August,11,432,63.52,8.51,76.19,2017
0,Coffee Day Enterprises Ltd,0,1150,2015,Qtr 4,November,2,328,0,0,0,2015
111.85,Computer Age Management Services Ltd,1,2242.11,2020,Qtr 4,October,1,1230,73.18,5.55,46.99,2020
16.99,Concord Biotech Limited,1,1550.52,2023,Qtr 3,August,18,741,67.67,3.78,24.87,2023
14.2,Concord Enviro Systems Limited,0,500.33,2024,Qtr 4,December,27,701,17.32,5.56,10.67,2024
101.93,CP Capital Ltd,1,115,2010,Qtr 4,October,6,310,47.45,31.74,47.39,2010
2.84,Craftsman Automation Limited,0,823.7,2021,Qtr 1,March,25,1490,5.21,3.43,3.81,2021
0.98,CreditAccess Grameen Ltd,0,1131.19,2018,Qtr 3,August,23,422,5.52,0.88,2.22,2018
55.52,Credo Brands Marketing Limited,0,549.78,2023,Qtr 4,December,27,280,104.95,19.94,51.85,2023
76.15,Crizac Limited,0,860,2025,Qtr 3,July,9,245,134.35,10.24,59.82,2025
164.68,CSB Bank Ltd,1,409.68,2019,Qtr 4,December,4,195,62.18,44.53,86.93,2019
45.05,Cyient DLM Limited,1,592,2023,Qtr 3,July,10,265,90.44,49.22,67.31,2023
26.17,D B Corp Limited,0,384.22,2010,Qtr 1,January,6,212,68.52,3.42,39.54,2010
98.62,Dam Capital Advisors Limited,1,840.25,2024,Qtr 4,December,27,283,166.33,27.13,82.08,2024
254.22,Data Patterns (India) Limited,1,588.22,2021,Qtr 4,December,24,585,190.86,23.14,119.62,2021
43.97,DCX Systems Ltd,1,500,2022,Qtr 4,November,11,207,84.32,61.77,69.79,2022
82.47,Deepak Builders & Engineers India Limited,0,260.04,2024,Qtr 4,October,28,203,13.91,39.79,41.54,2024
0.27,Delhivery Limited,0,5235,2022,Qtr 2,May,24,487,2.66,0.31,0.39,2022
507.27,Denta Water & Infrastructure Limited,0,220.5,2025,Qtr 1,January,29,294,236.94,90.56,221.68,2025
213.06,Devyani International Limited,1,1838,2021,Qtr 3,August,16,90,95.27,39.52,116.71,2021
3.44,Dharan Infra EPC Ltd,0,77.4,2018,Qtr 2,April,2,180,1.55,2.01,2.54,2018
52.29,Dharmaj Crop Guard Limited,0,251.09,2022,Qtr 4,December,8,237,48.21,21.53,35.49,2022
207.6,Diffusion Engineers Limited,0,157.96,2024,Qtr 4,October,4,168,95.74,85.61,114.49,2024
79.64,Dilip Buildcon Ltd,0,653.98,2016,Qtr 3,August,11,219,9.76,2.35,20.95,2016
1.4,Divgi Torqtransfer Systems Limited,0,412.12,2023,Qtr 1,March,14,590,7.83,4.31,5.44,2023
345.61,Dixon Technologies (India) Ltd,1,599.28,2017,Qtr 3,September,18,1766,134.66,10.6,117.83,2017
73.26,Dodla Dairy Limited,1,520.18,2021,Qtr 2,June,28,428,84.88,11.33,45.61,2021
66.51,Doms Industries Limited,1,1200,2023,Qtr 4,December,20,790,115.97,69.67,93.52,2023
272.88,DQ Entertainment (International) Limited,1,128.16,2010,Qtr 1,March,29,80,93.86,19.45,86.33,2010
