Sum of HNI,IPO Name,IPO Success,Sum of Issue Size,Year,Quarter,Month,Day,Sum of Offer Price,Sum of QIB,Sum of RII,Sum of Total,Sum of Year
1.52,Thangamayil Jewellery Limited,0,28.75,2010,Qtr 1,February,19,75,0.52,2.26,1.12,2010
225.3,Thyrocare Technologies Ltd,1,479.21,2016,Qtr 2,May,9,446,73.18,8.73,73.55,2016
3.22,Timbor Home Ltd,0,23.25,2011,Qtr 2,June,22,63,0.65,14.22,5.78,2011
23.18,Tirupati Inks Limited,1,51.5,2010,Qtr 4,October,1,43,1.78,12.59,8.77,2010
27.41,Tolins Tyres Limited,0,230,2024,Qtr 3,September,16,226,25.42,21.52,23.89,2024
0.23,Tracxn Technologies,0,309.38,2022,Qtr 4,October,20,80,1.66,2.39,0.71,2022
76.41,Transrail Lighting Limited,1,838.91,2024,Qtr 4,December,27,432,201.06,22.07,80.8,2024
1.58,Travel Food Services Limited,0,2000,2025,Qtr 3,July,14,1100,7.7,0.69,2.88,2025
1.68,Tree House Education & Accessories Ltd,0,112.06,2011,Qtr 3,August,26,135,1.02,2.76,1.85,2011
1.91,Tribhovandas Bhimji Zaveri Ltd,0,200,2012,Qtr 2,May,9,120,1.29,0.68,1.15,2012
2.35,TVS Supply Chain Solutions Limited,0,880,2023,Qtr 3,August,23,197,1.35,7.61,2.78,2023
60.42,Udayshivakumar Infosolutions Limited,0,66,2023,Qtr 2,April,3,35,40.47,14.1,30.63,2023
1.17,UFO Moviez India Ltd,0,600,2015,Qtr 2,May,14,625,4.49,1.02,2.04,2015
1.56,Ujaas Energy Ltd,0,93,2011,Qtr 4,October,20,186,1.03,2.35,1.57,2011
135.45,Ujjivan Financial Services Ltd,0,882.5,2016,Qtr 2,May,10,210,33.84,4.02,40.68,2016
473,Ujjivan Small Finance Bank Ltd,1,745.95,2019,Qtr 4,December,12,37,110.72,49.09,165.69,2019
0.94,Uma Exports Limited,0,60,2022,Qtr 2,April,7,68,2.81,6.28,4.64,2022
252.48,Unicommerce eSolutions Limited,1,276.57,2024,Qtr 3,August,13,108,138.75,131.15,168.39,2024
263.78,Unimech Aerospace and Manufacturing Limited,1,500,2024,Qtr 4,December,31,785,317.63,56.74,175.31,2024
17.86,Uniparts India Limited,0,835.61,2022,Qtr 4,December,12,577,67.14,4.63,25.32,2022
39.15,United Bank of India,0,324.98,2010,Qtr 1,March,18,66,47.08,9.8,33.38,2010
0.85,Updater Services Limited,0,640,2023,Qtr 4,October,4,300,4.48,1.39,2.9,2023
0.93,UTI Asset Management Company Ltd,0,2159.88,2020,Qtr 4,October,12,554,3.34,2.32,2.31,2020
81.64,Utkarsh Small Finance Bank Limited,1,500,2023,Qtr 3,July,21,25,124.85,72.11,101.91,2023
100.98,Va Tech Wabag Ltd,1,472.59,2010,Qtr 4,October,13,1310,36.13,8.55,36.22,2010
73.64,Valiant Laboratories Limited,0,152.46,2023,Qtr 4,October,6,140,20.83,16.06,29.76,2023
4.25,Valor Estates Limited,0,1500,2010,Qtr 1,February,24,468,4.47,0.37,2.95,2010
2.45,Varroc Engineering Ltd,0,1954.96,2018,Qtr 3,July,6,967,9.16,0.95,3.59,2018
0.42,Varun Beverages Ltd,0,1112.5,2016,Qtr 4,November,8,445,4.94,0.82,1.86,2016
3.65,Vascon Engineers Limited,0,178.2,2010,Qtr 1,February,15,165,1.12,0.62,1.22,2010
11.29,Vaswani Industries Ltd,0,49,2011,Qtr 4,October,24,49,0.16,6.83,4.16,2011
1.07,Vedant Fashions Limited,0,3149.19,2022,Qtr 1,February,16,866,7.49,0.39,2.57,2022
13.85,Ventive Hospitality Limited,0,1600,2024,Qtr 4,December,30,643,9.08,5.87,9.8,2024
6.59,Venus Pipes & Tubes Limited,0,165.42,2022,Qtr 2,May,24,326,12.02,11.12,8.69,2022
2.09,Veranda Learning Solutions Limited,0,200,2022,Qtr 2,April,11,137,2.02,5.68,2.24,2022
721.34,Vibhor Steel Tubes Limited,1,72.17,2024,Qtr 1,February,20,151,178.73,188.17,298.86,2024
1.32,Vijaya Diagnostic Centre Limited,0,1894.26,2021,Qtr 3,September,14,531,13.07,1.09,4.54,2021
14.25,Vishal Mega Mart Limited,1,8000,2024,Qtr 4,December,18,78,80.75,2.31,27.28,2024
111.03,Vishnu Prakash R P Limited,1,308.61,2023,Qtr 3,September,5,99,171.69,32.02,87.82,2023
1.76,Vishwaraj Sugar Industries Ltd,0,60,2019,Qtr 4,October,15,60,1,0.64,1.12,2019
0.38,VKS Projects Ltd,0,55,2012,Qtr 3,July,18,55,1.15,1.13,1.03,2012
1.39,V-Mart Retail Ltd,0,94.42,2013,Qtr 1,February,20,210,1.52,0.79,1.2,2013
1.11,VMS Industries Ltd,0,25.75,2011,Qtr 2,June,14,40,0,3.41,1.36,2011
4.13,Vodafone Idea Ltd,0,18000,2024,Qtr 2,April,25,11,17.56,0.92,6.36,2024
208.81,Vraj Iron & Steel Limited,0,171,2024,Qtr 3,July,3,207,163.9,54.93,119.04,2024
250.86,VRL Logistics Ltd,1,467.88,2015,Qtr 2,April,30,205,58.22,7.92,74.26,2015
62.49,Waaree Energies Limited,1,4321.44,2024,Qtr 4,October,28,1503,208.63,10.79,76.34,2024
44.71,Western Carriers Limited,0,492.88,2024,Qtr 3,September,24,172,27.99,25.95,30.57,2024
15.73,Windlas Biotech Limited,0,401.54,2021,Qtr 3,August,16,460,24.4,24.27,22.47,2021
159.04,Wonderla Holidays Ltd,1,181.25,2014,Qtr 2,May,9,125,16.71,7.55,38.06,2014
7.69,Xelpmoc Design and Technologies Ltd,0,23,2019,Qtr 1,February,4,66,1.24,2.64,3.25,2019
37.22,Yatharth Hospital & Trauma Care Services Limited,0,686.55,2023,Qtr 3,August,7,300,85.1,8.34,36.16,2023
0.42,Yatra Online Limited,0,775,2023,Qtr 3,September,28,142,2.05,2.11,1.61,2023
0.63,Yes Bank Ltd,0,15000,2020,Qtr 3,July,27,12,1.9,0.47,0.93,2020
8.85,Zaggle Prepaid Ocean Limited,0,563.38,2023,Qtr 3,September,22,164,16.73,5.94,12.57,2023
0.24,Zinka Logistics Solution Limited (BlackBuck),0,1114.72,2024,Qtr 4,November,22,273,2.76,1.66,1.86,2024
